ID,Student_Type,Gender,ELIPT_Writing,ALT_R,DCT_R,RCT_R,GF_R,TOEFL_LC,TOEFL_SPK,TOEFL_RC,TOEFL_WRT,TOEFL_total,IELTS_LC,IELTS_SPK,IELTS_RC,IELTS_WRT,IELTS_total,Country,TOEFL_PBT_total,TOEFL_PBT_list,TOEFL_PBT_read,ALT_01,ALT_02,ALT_03,ALT_04,ALT_05,ALT_06,ALT_07,ALT_08,ALT_09,ALT_10,ALT_11,ALT_12,ALT_13,ALT_14,ALT_15,ALT_16,ALT_17,ALT_18,ALT_19,ALT_20,ALT_21,ALT_22,ALT_23,ALT_24,ALT_25,ALT_26,ALT_27,ALT_28,ALT_29,ALT_30,ALT_31,ALT_32,ALT_33,ALT_34,ALT_35,ALT_36,DCT_01_few,DCT_02_people,DCT_03_besides,DCT_04_teachers,DCT_05_of,DCT_06_reading,DCT_07_are,DCT_08_aware,DCT_09_of,DCT_10_the,DCT_11_complex,DCT_12_mental,DCT_13_manipulations,DCT_14_involved,DCT_15_in,DCT_16_the,DCT_17_reading,DCT_18_process,DCT_19_it,DCT_20_requires,DCT_21_a,DCT_22_fresh,DCT_23_look,DCT_24_at,DCT_25_a,DCT_26_printed,DCT_27_page,DCT_28_to,DCT_29_recognized,DCT_30_that,DCT_31_those,DCT_32_symbols,DCT_33_that,DCT_34_we,DCT_35_call,DCT_36_letters,DCT_37_of,DCT_38_the,DCT_39_alphabet,DCT_40_are,DCT_41_completely,DCT_42_abstract,DCT_43_shapes,DCT_44_bearing,DCT_45_no,DCT_46_inherent,DCT_47_meaning,DCT_48_of,DCT_49_their,DCT_50_own,DCT_total,VOC_01,VOC_02,VOC_03,VOC_04,VOC_05,VOC_06,VOC_07,VOC_08,VOC_09,VOC_10,VOC_11,VOC_12,VOC_13,VOC_14,VOC_15,VOC_16,VOC_17,VOC_18,VOC_19,VOC_20,VOC_21,VOC_22,VOC_23,VOC_24,VOC_25,RCT_01,RCT_02,RCT_03,RCT_04,RCT_05,RCT_06,RCT_07,RCT_08,RCT_09,RCT_10,RCT_11,RCT_12,RCT_13,RCT_14,RCT_15,RCT_16,RCT_17,RCT_18,RCT_19,RCT_20,RCT_21,RCT_22,RCT_23,RCT_24,RCT_25,GF_01,GF_02,GF_03,GF_04,GF_05,GF_06,GF_07,GF_08,GF_09,GF_10,GF_11,GF_12,GF_13,GF_14,GF_15,GF_16,GF_17,GF_18,GF_19,GF_20,GF_21,GF_22,GF_23,GF_24,GF_25,GF_total
S001,U,F,DONE,15,30,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,30,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,11
S002,U,M,DONE,16,28,30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korea,NA,NA,NA,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,28,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,NA,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,17
S003,ExchU,F,73,18,23,28,23,22,20,22,21,85,NA,NA,NA,NA,NA,Korea,NA,NA,NA,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,24,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,23
S004,U,F,DONE,20,35,37,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korea,NA,NA,NA,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,35,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,23
S005,ExchU,F,100,27,43,39,23,25,20,28,21,94,NA,NA,NA,NA,NA,Korea,NA,NA,NA,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,43,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23
S006,G,M,83,18,21,21,17,NA,NA,NA,NA,NA,6,5,6,6,6,Indonesia,NA,NA,NA,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,21,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,18
S007,U,M,100,27,42,40,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,NA,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,19
S008,U,M,DONE,22,21,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,NA,NA,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,21,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,19
S009,U,M,DONE,16,43,26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Philippines,563,61,54,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,43,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,18
S010,ExchU,F,73,29,40,44,24,25,23,29,16,93,NA,NA,NA,NA,NA,Korea,NA,NA,NA,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,24
